patient_id,patient_label,condition,state_cluster,state_label,state_category,n_cells,positive_cells,pct_positive,mean_expr,mean_expr_positive,pct_of_patient_condition_keratinocytes
6,P6,LE,0,KC0 Basal KC,Basal KC,21,3,14.285714285714285,0.7450277368043768,6.075129899099853,6.25
6,P6,LE,1,KC1 Unclassified KC,Unclassified KC,40,11,27.500000000000004,1.5730032380926324,6.0978623279521065,11.904761904761903
6,P6,LE,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,10,1,10.0,0.8710096387796178,10.0,2.976190476190476
6,P6,LE,2,KC2 Stress-response KC,Stress-response KC,94,38,40.42553191489361,2.1012721119583624,5.409095932749088,27.976190476190478
6,P6,LE,3,KC3 Differentiated KC,Differentiated KC,7,3,42.857142857142854,1.6352215247158912,4.006613722441349,2.083333333333333
6,P6,LE,4,KC4 Junctional KC,Junctional KC,58,13,22.413793103448278,1.81875631332315,8.610568017981677,17.261904761904763
6,P6,LE,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,54,19,35.18518518518518,1.2592552604096328,3.8429513624924874,16.071428571428573
6,P6,LE,6,KC6 Cycling KC,Cycling KC,5,0,0.0,-0.14332262357820244,,1.488095238095238
6,P6,LE,7,KC7 Immune-like contaminant,Immune-like contaminant,14,2,14.285714285714285,0.5947423201237979,5.0231319823358005,4.166666666666666
6,P6,LE,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,20,0,0.0,-0.14332262357820244,,5.952380952380952
6,P6,LE,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,13,4,30.76923076923077,1.1301260135988498,3.9953854472472172,3.869047619047619
6,P6,Normal,0,KC0 Basal KC,Basal KC,57,19,33.33333333333333,2.0709747378099697,6.499569460586315,12.101910828025478
6,P6,Normal,1,KC1 Unclassified KC,Unclassified KC,73,22,30.136986301369863,1.9344497960924716,6.7511040416926695,15.498938428874734
6,P6,Normal,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,5,0,0.0,-0.14332262357820244,,1.0615711252653928
6,P6,Normal,2,KC2 Stress-response KC,Stress-response KC,145,80,55.172413793103445,2.910456642668775,5.391652296494444,30.78556263269639
6,P6,Normal,3,KC3 Differentiated KC,Differentiated KC,3,1,33.33333333333333,1.190826869161644,3.8591258546413365,0.6369426751592357
6,P6,Normal,4,KC4 Junctional KC,Junctional KC,93,25,26.881720430107524,2.322629225773429,9.030018256009866,19.745222929936308
6,P6,Normal,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,49,12,24.489795918367346,0.717498252064331,3.3716959519621423,10.40339702760085
6,P6,Normal,6,KC6 Cycling KC,Cycling KC,23,6,26.08695652173913,1.3708195166085986,5.660888913804534,4.8832271762208075
6,P6,Normal,7,KC7 Immune-like contaminant,Immune-like contaminant,7,0,0.0,-0.14332262357820244,,1.48619957537155
6,P6,Normal,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,9,0,0.0,-0.14332262357820244,,1.910828025477707
6,P6,Normal,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,7,4,57.14285714285714,1.451538948990795,2.6476851284175433,1.48619957537155
